transaction_id,order_id,bank_id,card_number,total_price,transaction_datetime
1,1,5,1234567890,96.18,"2022-11-11 09:31:00"
2,2,9,9876543210,60.97,"2022-11-12 14:48:00"
3,3,3,2468135790,59.35,"2022-11-13 18:21:00"
4,4,7,1357924680,55.13,"2022-11-14 11:13:00"
5,5,2,8642097531,73.27,"2022-11-15 20:10:00"
6,6,8,9753102468,25.47,"2022-11-16 17:34:00"
7,7,1,3698521470,63.21,"2022-11-17 12:18:00"
8,8,10,2581470369,74.57,"2022-11-18 16:43:00"
9,9,4,3698520147,46.95,"2022-11-19 10:26:00"
10,10,6,9516238740,61.15,"2022-11-20 19:54:00"
11,11,2,7418529630,37.83,"2022-11-11 08:48:00"
12,12,3,2580369741,66.25,"2022-11-12 13:12:00"
13,13,5,6302581479,57.39,"2022-11-13 17:29:00"
14,14,8,9637418520,35.55,"2022-11-14 11:00:00"
15,15,1,3698741205,52.88,"2022-11-15 21:32:00"
16,16,7,8520369741,109.15,"2022-11-16 16:23:00"
17,17,10,7410369258,57.00,"2022-11-17 11:10:00"
18,18,9,6302581479,45.24,"2022-11-18 15:33:00"
19,19,4,9637418520,28.84,"2022-11-19 09:18:00"
20,20,3,3698741205,164.97,"2022-11-20 18:43:00"
21,21,6,8520369741,35.59,"2022-11-11 09:31:00"
22,22,1,7410369258,29.82,"2022-11-12 14:46:00"
23,23,5,2580369741,54.83,"2022-11-13 18:25:00"
24,24,2,3698741205,117.66,"2022-11-14 11:15:00"
25,25,8,8520369741,51.81,"2022-11-15 20:07:00"
26,26,7,7410369258,77.79,"2022-11-16 17:31:00"
27,27,10,9637418520,40.53,"2022-11-17 12:16:00"
28,28,9,3698741205,135.93,"2022-11-18 16:44:00"
29,29,4,8520369741,52.43,"2022-11-19 10:26:00"
30,30,3,7410369258,82.14,"2022-11-20 19:52:00"
31,31,1,9637418520,33.58,"2022-11-11 08:47:00"
32,32,2,3698741205,53.58,"2022-11-12 13:15:00"
33,33,3,8520369741,63.57,"2022-11-13 17:26:00"
34,34,4,7410369258,33.57,"2022-11-14 10:59:00"
35,35,5,2580369741,71.86,"2022-11-15 21:31:00"
36,36,6,3698741205,166.53,"2022-11-16 16:21:00"
37,37,7,8520369741,91.00,"2022-11-17 11:10:00"
38,38,8,7410369258,57.77,"2022-11-18 15:31:00"
39,39,9,9637418520,31.92,"2022-11-19 09:16:00"
40,40,10,3698741205,124.49,"2022-11-20 18:45:00"
41,41,1,8520369741,82.32,"2022-11-11 09:33:00"
42,42,2,7410369258,34.26,"2022-11-12 14:48:00"
43,43,3,2580369741,82.80,"2022-11-13 18:21:00"
44,44,4,3698741205,126.74,"2022-11-14 11:15:00"
45,45,5,8520369741,55.14,"2022-11-15 20:07:00"
46,46,6,7410369258,77.46,"2022-11-16 17:31:00"
